fecha,placa,código,mina,mpio,pesent,pessal,peso_bas,horaentra,horasal,humedad,cenizas,volatil,azufre,pcal,p_correg,f_b,t_mcal,cod_m,
11/06/2015,SKV781,448/471/01/9,COINCARBOY SPO036-109-TAS,TASCO                    ,44990,14790,30200,03:40:54 p.m.,03:52:17 p.m.,5.91,15.82,35.99,1.37,6086.40,30214.80,1.00049,183899.36,65217343_,
12/06/2015,SKV781,448/471/01/10,COINCARBOY SPO036-109-TAS,TASCO                    ,45030,14770,30260,07:19:21 a.m.,07:48:56 a.m.,5.91,15.82,35.99,1.37,6086.40,30274.83,1.00049,184264.73,65217343_,
12/06/2015,XJA591,448/471/01/11,COINCARBOY SPO036-109-TAS,TASCO                    ,54400,18010,36390,01:19:00 p.m.,01:31:37 p.m.,5.91,15.82,35.99,1.37,6086.40,36407.83,1.00049,221592.62,65217343_,
12/06/2015,SMK380,448/471/01/12,COINCARBOY SPO036-109-TAS,TASCO                    ,56140,18180,37960,01:39:43 p.m.,01:55:16 p.m.,5.91,15.82,35.99,1.37,6086.40,37978.60,1.00049,231152.95,65217343_,
12/06/2015,XGC694,448/471/01/13,COINCARBOY SPO036-109-TAS,TASCO                    ,31600,11360,20240,02:50:58 p.m.,03:04:46 p.m.,5.91,15.82,35.99,1.37,6086.40,20249.92,1.00049,123249.11,65217343_,
12/06/2015,SKV781,448/471/01/14,COINCARBOY SPO036-109-TAS,TASCO                    ,45230,14710,30520,03:08:11 p.m.,03:21:01 p.m.,5.91,15.82,35.99,1.37,6086.40,30534.95,1.00049,185847.92,65217343_,
16/06/2015,SKV781,448/471/01/15,COINCARBOY SPO036-109-TAS,TASCO                    ,45900,14710,31190,08:14:52 a.m.,08:31:43 a.m.,5.91,15.82,35.99,1.37,6086.40,31205.28,1.00049,189927.82,65217343_,
16/06/2015,SKV781,448/471/01/16,COINCARBOY SPO036-109-TAS,TASCO                    ,46410,14800,31610,11:37:46 a.m.,11:47:52 a.m.,5.91,15.82,35.99,1.37,6086.40,31625.49,1.00049,192485.38,65217343_,
09/06/2015,TAL974,451/474/01/1,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,56230,18780,37450,10:44:42 a.m.,10:58:09 a.m.,4.74,11.85,37.36,1.26,6649.75,37778.81,1.00878,251219.64,58235442_,
09/06/2015,SST246,451/474/01/2,ACERO TAPIAS CARLOS HUMBERTO SPO036-112,TOPAGA                   ,43170,14950,28220,11:35:20 a.m.,11:52:34 a.m.,4.74,11.85,37.36,1.26,6649.75,28467.77,1.00878,189303.55,58235442_,
